GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1610720381.60,37,5671973,-122,-4705816
1610720442.40,37,5671968,-122,-4705820
1610720502.80,37,5671985,-122,-4705857
1610720563.20,37,5671978,-122,-4705855
1610720623.60,37,5671969,-122,-4705834
1610720684.00,37,5671931,-122,-4705859
1610720744.40,37,5671947,-122,-4705826
1610720804.80,37,5671974,-122,-4705884
1610720865.20,37,5671971,-122,-4705853
1610720925.20,37,5671910,-122,-4705821
1610720985.60,37,5671883,-122,-4705790
1610721046.00,37,5671894,-122,-4705770
1610721106.40,37,5671819,-122,-4705802
1610721166.80,37,5671854,-122,-4705782
1610721227.20,37,5671866,-122,-4705793
1610721287.60,37,5671812,-122,-4705748
1610721348.00,37,5671766,-122,-4705769
1610721408.40,37,5671755,-122,-4705742
1610721468.80,37,5671735,-122,-4705686
1610721529.20,37,5671783,-122,-4705640
1610721589.60,37,5671655,-122,-4705728
1610721650.00,37,5671645,-122,-4705661
1610721710.40,37,5671681,-122,-4705612
1610721770.80,37,5671628,-122,-4705586
1610721831.20,37,5671664,-122,-4705518
1610721891.60,37,5671740,-122,-4705526
1610721952.00,37,5671822,-122,-4705362
1610722012.40,37,5671770,-122,-4705307
1610722072.80,37,5671826,-122,-4705235
1610722133.20,37,5671852,-122,-4705173
1610722193.60,37,5671876,-122,-4705209
1610722254.00,37,5671899,-122,-4705036
1610722314.40,37,5671933,-122,-4704938
1610722374.80,37,5671957,-122,-4704965
1610722435.20,37,5671968,-122,-4705001
1610722495.60,37,5671982,-122,-4704995
1610722556.00,37,5671986,-122,-4705012
1610722616.40,37,5671950,-122,-4705112
1610722676.80,37,5671890,-122,-4705103
1610722737.20,37,5671890,-122,-4705181
1610722797.60,37,5671796,-122,-4705209
1610722858.00,37,5671803,-122,-4705289
1610722918.40,37,5671805,-122,-4705229
1610722978.80,37,5671818,-122,-4705166
1610723039.20,37,5671788,-122,-4705101
1610723099.60,37,5671829,-122,-4705017
1610723160.00,37,5671842,-122,-4704962
1610723220.40,37,5671791,-122,-4704966
1610723280.80,37,5671765,-122,-4704919
1610723341.20,37,5671760,-122,-4704872
1610723401.60,37,5671722,-122,-4704854
1610723462.00,37,5671714,-122,-4704784
1610723522.40,37,5671698,-122,-4704718
1610723582.80,37,5671697,-122,-4704815
1610723643.20,37,5671711,-122,-4704918
1610723703.60,37,5671671,-122,-4704997
1610723764.00,37,5671631,-122,-4704975
1610723824.40,37,5671667,-122,-4705023
1610723884.80,37,5671620,-122,-4705045
1610723945.20,37,5671590,-122,-4705116
1610724005.20,37,5671553,-122,-4705226
1610724065.60,37,5671550,-122,-4705218
1610724126.00,37,5671538,-122,-4705314
1610724186.40,37,5671466,-122,-4705311
1610724246.80,37,5671540,-122,-4705287
1610724307.20,37,5671553,-122,-4705259
1610724367.60,37,5671552,-122,-4705201
1610724428.00,37,5671558,-122,-4705099
1610724488.40,37,5671541,-122,-4705059
1610724548.80,37,5671630,-122,-4704873
1610724609.20,37,5671598,-122,-4704787
1610724669.60,37,5671693,-122,-4704626
1610724729.60,37,5671734,-122,-4704588
