millis,sst
994296109,10.94
994356129,10.95
994416154,10.94
994476181,10.94
994536208,10.94
994596304,10.93
994656333,10.94
994716385,10.94
994776414,10.94
994836482,10.94
994896515,10.93
994956566,10.94
995016851,10.94
995076909,10.93
995136952,10.94
995196989,10.93
995257032,10.93
995317082,10.93
995377098,10.93
995437156,10.93
995497187,10.94
995557507,10.94
995617533,10.94
995677566,10.93
995737618,10.94
995797645,10.93
995857694,10.93
995917740,10.93
995977793,10.93
996038191,10.93
996098234,10.94
996158261,10.93
996218316,10.93
996278343,10.92
996338393,10.93
996398419,10.93
996458481,10.93
996518510,10.93
996578562,10.94
996638599,10.93
996698925,10.93
996758982,10.92
996819007,10.93
996879065,10.93
996939098,10.93
996999145,10.92
997059176,10.93
997119225,10.93
997179547,10.93
997239578,10.93
997299609,10.94
997359663,10.94
997419685,10.93
997479739,10.93
997539770,10.93
997599832,10.94
997659869,10.94
997720231,10.93
997780285,10.93
997840310,10.94
997900349,10.94
997960384,10.94
998020454,10.95
998080489,10.95
998140547,10.94
998200569,10.94
998260615,10.93
998320969,10.93
998381053,10.94
998441074,10.94
998501099,10.94
998561126,10.94
998621157,10.94
998681196,10.94
998741229,10.93
998801606,10.93
998861641,10.94
998921699,10.94
998981724,10.93
999041763,10.93
999101790,10.94
999161856,10.94
999221884,10.94
999281942,10.94
999342282,10.94
999402328,10.94
999462354,10.94
999522414,10.95
999582459,10.95
999642527,10.95
999702571,10.95
999762622,10.95
999822647,10.95
999882688,10.95
999943016,10.95
1000003065,10.95
1000063109,10.95
1000123150,10.95
1000183183,10.96
1000243232,10.95
1000303271,10.95
1000363331,10.95
1000423350,10.96
1000483682,10.96
1000543733,10.95
1000603760,10.96
1000663824,10.96
1000723863,10.96
1000783892,10.96
1000843917,10.96
1000903960,10.95
1000964331,10.96
1001024374,10.96
1001084409,10.96
1001144455,10.96
1001204484,10.95
1001264551,10.95
1001324584,10.96
1001384632,10.97
1001444669,10.95
1001504991,10.96
1001565040,10.97
1001625065,10.97
1001685118,10.97
1001745139,10.96
1001805211,10.96
1001865242,10.97
1001925300,10.97
1001985337,10.97
1002045374,10.98
1002105739,10.98
1002165788,10.98
1002225829,10.97
1002285871,10.98
1002345891,10.98
1002405931,10.98
1002465961,10.99
1002526009,10.99
1002586052,10.99
1002646411,10.99
1002706472,10.99
1002766491,10.99
1002826551,11.00
1002886588,11.00
1002946635,11.00
1003006666,11.01
1003066730,11.00
1003127052,11.00
1003187105,11.00
1003247134,11.01
1003307182,11.01
1003367335,11.00
1003427405,11.00
1003487434,11.01
1003547484,11.01
1003607513,11.01
1003667566,11.02
1003727847,11.01
1003787884,11.02
1003847913,11.02
1003907971,11.02
1003968008,11.02
1004028065,11.02
1004088092,11.03
1004148146,11.02
1004208177,11.03
1004268468,11.04
1004328511,11.03
1004388548,11.04
1004448589,11.03
1004508626,11.03
1004568666,11.02
1004628699,11.02
