millis,type,message
994276409,INFO,0235_SYS.csv created
994276425,INFO,powerData | solI: 0.00
994276446,INFO,powerData | battV: 4.07
994276464,INFO,powerData | battI: -0.05
994276483,INFO,powerData | busV: 4.06
994276503,INFO,powerData | busI: 0.05
994276521,INFO,powerData | BQ status reg: 0
994276542,INFO,powerData | Fault reg: 0
994276562,INFO,powerData | Charge status: 0
994276581,INFO,powerData | DPM status: 0
994283008,INFO,Starting analysis m: 5061 t: 0 e: 31
994283290,WARN,Disabling MessageSender transmissions
994284408,INFO,Completed analysis m: 5061 t: 0 e: 31
994284433,INFO,Enabling MessageSender transmissions
994334072,INFO,Starting analysis m: 5061 t: 0 e: 32
994334347,WARN,Disabling MessageSender transmissions
994335471,INFO,Completed analysis m: 5061 t: 0 e: 32
994335494,INFO,Processing stats m: 5061 t: 0 e: 33
994341189,INFO,Enabling MessageSender transmissions
994393475,INFO,Starting collection m: 5061 t: 1 at 1610720515.20
994495248,INFO,Starting analysis m: 5061 t: 1 e: 0
994495526,WARN,Disabling MessageSender transmissions
994496481,INFO,Completed analysis m: 5061 t: 1 e: 0
994496503,INFO,Enabling MessageSender transmissions
994546315,INFO,Starting analysis m: 5061 t: 1 e: 1
994546599,WARN,Disabling MessageSender transmissions
994547712,INFO,Completed analysis m: 5061 t: 1 e: 1
994547734,INFO,Enabling MessageSender transmissions
994576033,INFO,powerData | solV: 0.00
994576054,INFO,powerData | solI: 0.00
994576074,INFO,powerData | battV: 4.07
994576093,INFO,powerData | battI: -0.05
994576117,INFO,powerData | busV: 4.06
994576138,INFO,powerData | busI: 0.04
994576158,INFO,powerData | BQ status reg: 0
994576179,INFO,powerData | Fault reg: 0
994576199,INFO,powerData | Charge status: 0
994576218,INFO,powerData | DPM status: 0
994597376,INFO,Starting analysis m: 5061 t: 1 e: 2
994597650,WARN,Disabling MessageSender transmissions
994598787,INFO,Completed analysis m: 5061 t: 1 e: 2
994598811,INFO,Enabling MessageSender transmissions
994648438,INFO,Starting analysis m: 5061 t: 1 e: 3
994648717,WARN,Disabling MessageSender transmissions
994649833,INFO,Completed analysis m: 5061 t: 1 e: 3
994649856,INFO,Enabling MessageSender transmissions
994699505,INFO,Starting analysis m: 5061 t: 1 e: 4
994699788,WARN,Disabling MessageSender transmissions
994700910,INFO,Completed analysis m: 5061 t: 1 e: 4
994700933,INFO,Enabling MessageSender transmissions
994750574,INFO,Starting analysis m: 5061 t: 1 e: 5
994750898,WARN,Disabling MessageSender transmissions
994752014,INFO,Completed analysis m: 5061 t: 1 e: 5
994752040,INFO,Enabling MessageSender transmissions
994801635,INFO,Starting analysis m: 5061 t: 1 e: 6
994801911,WARN,Disabling MessageSender transmissions
994803050,INFO,Completed analysis m: 5061 t: 1 e: 6
994803073,INFO,Enabling MessageSender transmissions
994852712,INFO,Starting analysis m: 5061 t: 1 e: 7
994852988,WARN,Disabling MessageSender transmissions
994854103,INFO,Completed analysis m: 5061 t: 1 e: 7
994854125,INFO,Enabling MessageSender transmissions
994876037,INFO,powerData | solV: 0.01
994876057,INFO,powerData | solI: 0.00
994876078,INFO,powerData | battV: 4.07
994876098,INFO,powerData | battI: -0.05
994876116,INFO,powerData | busV: 4.06
994876137,INFO,powerData | busI: 0.04
994876157,INFO,powerData | BQ status reg: 0
994876178,INFO,powerData | Fault reg: 0
994876198,INFO,powerData | Charge status: 0
994876217,INFO,powerData | DPM status: 0
994903771,INFO,Starting analysis m: 5061 t: 1 e: 8
994904045,WARN,Disabling MessageSender transmissions
994905174,INFO,Completed analysis m: 5061 t: 1 e: 8
994905196,INFO,Enabling MessageSender transmissions
994954838,INFO,Starting analysis m: 5061 t: 1 e: 9
994955120,WARN,Disabling MessageSender transmissions
994956238,INFO,Completed analysis m: 5061 t: 1 e: 9
994956261,INFO,Enabling MessageSender transmissions
995005896,INFO,Starting analysis m: 5061 t: 1 e: 10
995006171,WARN,Disabling MessageSender transmissions
