millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
229710,1727103264.40,0.00,0.00,0.00,I
230097,1727103264.80,-1337.84,362.83,-8.94,I
230498,1727103265.20,-1121.21,447.19,-24.84,I
230898,1727103265.60,-1497.55,438.07,-48.63,I
231298,1727103266.00,-2903.07,585.00,-71.03,I
231699,1727103266.40,-3722.66,654.65,-81.01,I
232098,1727103266.80,-4861.80,825.18,-73.55,I
232498,1727103267.20,-5400.79,906.37,-57.51,I
232898,1727103267.60,-5240.35,912.76,-54.48,I
233303,1727103268.00,-4554.19,874.50,-37.74,I
233698,1727103268.40,-4109.21,865.01,-29.04,I
234099,1727103268.80,-3676.52,778.95,-10.83,I
234499,1727103269.20,-3202.28,647.96,-5.00,I
234898,1727103269.60,-2620.60,515.49,13.15,I
235299,1727103270.00,-1919.08,366.51,11.32,I
235699,1727103270.40,-1250.29,223.48,6.91,I
236099,1727103270.80,-578.51,104.45,22.00,I
236500,1727103271.20,425.98,-60.45,8.59,I
236900,1727103271.60,1665.27,-275.12,17.32,I
237300,1727103272.00,2816.38,-525.23,28.42,I
237700,1727103272.40,3661.60,-698.98,35.80,I
238100,1727103272.80,4475.63,-856.41,37.33,I
238500,1727103273.20,4811.42,-947.47,18.02,I
238899,1727103273.60,5052.73,-1032.42,7.42,I
239300,1727103274.00,5286.19,-1108.65,-5.79,I
239700,1727103274.40,5449.49,-1158.87,13.15,
240103,1727103274.80,5665.26,-1218.81,38.72,
240500,1727103275.20,5674.45,-1234.55,50.24,
240900,1727103275.60,5615.74,-1211.97,55.58,
241300,1727103276.00,5076.07,-1108.31,43.24,
241700,1727103276.40,4548.15,-1006.36,36.62,
242100,1727103276.80,4047.51,-906.45,39.13,
242500,1727103277.20,3665.16,-841.94,43.51,
242901,1727103277.60,3117.14,-756.68,59.95,
243302,1727103278.00,2324.63,-605.25,63.30,
243727,1727103278.40,2017.89,-535.14,67.59,
244101,1727103278.80,1420.43,-431.49,83.18,
244501,1727103279.20,1203.37,-351.38,76.98,
244900,1727103279.60,1449.35,-374.14,72.99,
245302,1727103280.00,1402.95,-329.68,77.87,
245701,1727103280.40,962.37,-214.47,61.94,
246102,1727103280.80,736.78,-143.48,58.14,
246501,1727103281.20,580.31,-75.79,45.27,
246901,1727103281.60,978.82,-110.89,14.57,
247301,1727103282.00,1129.05,-94.85,18.45,
247702,1727103282.40,1205.11,-70.67,-13.55,
248101,1727103282.80,1071.87,-22.98,-42.37,
248502,1727103283.20,587.09,42.10,-52.82,
248902,1727103283.60,63.92,137.09,-43.80,
249302,1727103284.00,-690.95,287.33,-66.69,
249701,1727103284.40,-1170.64,346.44,-93.17,
250101,1727103284.80,-1288.33,348.12,-91.47,
250502,1727103285.20,-1205.31,335.76,-94.81,
250903,1727103285.60,-1317.06,346.26,-91.27,
251303,1727103286.00,-1543.14,373.83,-75.92,
251702,1727103286.40,-1645.56,398.24,-64.72,
252103,1727103286.80,-1580.67,386.27,-53.43,
252502,1727103287.20,-1566.35,378.20,-49.37,
252903,1727103287.60,-1473.25,390.17,-53.80,
253303,1727103288.00,-1345.04,367.62,-47.89,
253703,1727103288.40,-979.86,317.59,-21.23,
254103,1727103288.80,-800.46,312.49,-14.19,
254503,1727103289.20,-707.74,293.27,-16.75,
254903,1727103289.60,-805.52,296.87,-15.30,
255303,1727103290.00,-1027.17,334.56,1.89,
255703,1727103290.40,-674.63,267.10,2.74,
