GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1727103264,37,4728683,-122,-2310758
1727103324,37,4729151,-122,-2314262
1727103384,37,4729526,-122,-2317488
1727103444,37,4729745,-122,-2318988
1727103504,37,4730239,-122,-2322320
1727103564,37,4730709,-122,-2325586
1727103624,37,4730459,-122,-2323187
1727103684,37,4730648,-122,-2323658
1727103744,37,4730407,-122,-2322279
1727103804,37,4730234,-122,-2320749
1727103864,37,4730389,-122,-2322499
1727103924,37,4730645,-122,-2322451
1727103984,37,4731166,-122,-2321683
1727104044,37,4731098,-122,-2322088
1727104104,37,4731011,-122,-2321902
1727104164,37,4730876,-122,-2321580
1727104224,37,4730871,-122,-2321098
1727104284,37,4731178,-122,-2321109
1727104344,37,4730990,-122,-2321553
1727104404,37,4730998,-122,-2322121
1727104464,37,4731085,-122,-2321863
1727104524,37,4730929,-122,-2322285
1727104584,37,4730846,-122,-2321897
1727104644,37,4730726,-122,-2321692
1727104704,37,4730364,-122,-2321425
1727104764,37,4730458,-122,-2321012
1727104824,37,4730579,-122,-2320828
1727104884,37,4731311,-122,-2320172
1727104944,37,4730867,-122,-2321475
1727105004,37,4730550,-122,-2321922
1727105064,37,4730810,-122,-2321214
1727105124,37,4730705,-122,-2321099
1727105184,37,4730343,-122,-2321441
1727105244,37,4730555,-122,-2321793
1727105304,37,4730590,-122,-2321817
1727105364,37,4730350,-122,-2322137
1727105424,37,4730216,-122,-2321686
1727105484,37,4730351,-122,-2321944
1727105544,37,4729833,-122,-2323158
1727105604,37,4730323,-122,-2322167
1727105664,37,4730743,-122,-2321960
1727105724,37,4731058,-122,-2322249
1727105784,37,4730893,-122,-2321445
1727105844,37,4730896,-122,-2321712
1727105904,37,4730435,-122,-2321673
1727105964,37,4730387,-122,-2322306
1727106024,37,4730613,-122,-2321912
1727106084,37,4730697,-122,-2321902
1727106144,37,4730702,-122,-2321635
1727106204,37,4730493,-122,-2321877
1727106264,37,4730404,-122,-2321633
1727106324,37,4729880,-122,-2322798
1727106384,37,4730978,-122,-2321058
1727106444,37,4730384,-122,-2321711
1727106504,37,4730934,-122,-2320971
1727106564,37,4730475,-122,-2321652
1727106624,37,4730042,-122,-2321384
1727106684,37,4734281,-122,-2313565
1727106744,37,4733787,-122,-2313010
1727106804,37,4731812,-122,-2318509
1727106864,37,4734402,-122,-2313314
1727106924,37,4734748,-122,-2310893
1727106984,37,4735459,-122,-2308959
1727107044,37,4736959,-122,-2308487
1727107104,37,4738003,-122,-2309902
1727107164,37,4738671,-122,-2308953
1727107224,37,4733546,-122,-2316484
1727107284,37,4738213,-122,-2308592
1727107344,37,4735905,-122,-2311165
1727107404,37,4732498,-122,-2308117
1727107464,37,4730943,-122,-2316992
1727107524,37,4730497,-122,-2320118
1727107584,37,4730155,-122,-2320890
1727107644,37,4730350,-122,-2321141
1727107704,37,4730319,-122,-2321687
1727107764,37,4730364,-122,-2322092
1727107824,37,4730379,-122,-2322200
1727107884,37,4730317,-122,-2322207
1727107944,37,4730256,-122,-2322193
1727108004,37,4730422,-122,-2321316
1727108064,37,4730359,-122,-2321838
1727108124,37,4730316,-122,-2322188
1727108184,37,4730303,-122,-2322440
1727108244,37,4730307,-122,-2322151
1727108304,37,4730262,-122,-2321769
1727108364,37,4730293,-122,-2322157
1727108424,37,4730196,-122,-2322346
1727108484,37,4730177,-122,-2322229
1727108544,37,4730223,-122,-2321837
1727108604,37,4730274,-122,-2322145
1727108664,37,4730191,-122,-2322456
1727108724,37,4730193,-122,-2322762
1727108784,37,4730270,-122,-2322544
1727108844,37,4730319,-122,-2322164
1727108904,37,4730091,-122,-2322129
1727108964,37,4730106,-122,-2321739
1727109024,37,4730135,-122,-2322468
1727109084,37,4730188,-122,-2322322
1727109144,37,4730286,-122,-2322011
1727109204,37,4730074,-122,-2321416
1727109264,37,4730085,-122,-2322008
1727109324,37,4730275,-122,-2322170
1727109384,37,4730257,-122,-2322083
1727109444,37,4730243,-122,-2322109
1727109504,37,4730218,-122,-2322536
1727109564,37,4730200,-122,-2322045
1727109624,37,4730112,-122,-2322512
1727109684,37,4730165,-122,-2322792
1727109744,37,4730279,-122,-2322442
1727109804,37,4730289,-122,-2322474
1727109864,37,4730343,-122,-2322642
1727109924,37,4730311,-122,-2322869
1727109984,37,4730249,-122,-2322651
1727110044,37,4730227,-122,-2322332
1727110104,37,4730200,-122,-2322532
1727110164,37,4730210,-122,-2322635
1727110224,37,4730173,-122,-2322466
1727110284,37,4730289,-122,-2322110
1727110344,37,4730368,-122,-2322358
1727110404,37,4730367,-122,-2322127
1727110464,37,4730341,-122,-2322628
1727110524,37,4730385,-122,-2322613
1727110584,37,4730352,-122,-2322307
1727110644,37,4730442,-122,-2322356
1727110704,37,4730520,-122,-2322274
1727110764,37,4730352,-122,-2321931
1727110824,37,4730405,-122,-2322113
1727110884,37,4730493,-122,-2322125
1727110944,37,4730505,-122,-2322448
1727111004,37,4730490,-122,-2322462
1727111064,37,4730433,-122,-2322539
1727111124,37,4730233,-122,-2322438
1727111184,37,4730381,-122,-2322578
1727111244,37,4730435,-122,-2322383
1727111304,37,4730547,-122,-2321850
1727111364,37,4730976,-122,-2323811
1727111424,37,4730307,-122,-2322022
1727111484,37,4730226,-122,-2321503
1727111544,37,4730496,-122,-2321645
1727111604,37,4730670,-122,-2322365
1727111664,37,4730471,-122,-2322392
1727111724,37,4730457,-122,-2322324
1727111784,37,4730362,-122,-2322035
1727111844,37,4730808,-122,-2322378
1727111904,37,4730684,-122,-2322357
1727111964,37,4730530,-122,-2322321
1727112024,37,4730622,-122,-2322593
1727112084,37,4730576,-122,-2322461
1727112144,37,4730338,-122,-2322176
1727112204,37,4730182,-122,-2322131
1727112264,37,4730037,-122,-2321788
1727112324,37,4729987,-122,-2321390
1727112384,37,4730132,-122,-2321373
