timestamp (ticks/UTC),temperature (C)
1727103097.867,18.68
1727103157.855,18.68
1727103217.843,18.68
1727103277.835,18.68
1727103337.824,18.68
1727103397.812,18.68
1727103457.800,18.68
1727103517.792,18.68
1727103577.781,18.68
1727103637.769,18.69
1727103697.757,18.69
1727103757.746,18.69
1727103817.738,18.69
1727103877.726,18.69
1727103937.714,18.69
1727103997.703,18.69
1727104057.695,18.70
1727104117.683,18.70
1727104177.671,18.70
1727104237.660,18.70
1727104297.652,18.71
1727104357.640,18.71
1727104417.628,18.71
1727104477.617,18.72
1727104537.609,18.72
1727104597.597,18.72
1727104657.585,18.72
1727104717.574,18.73
1727104777.566,18.73
1727104837.554,18.73
1727104897.542,18.74
1727104957.531,18.74
1727105017.523,18.75
1727105077.511,18.75
1727105137.500,18.75
1727105197.488,18.76
1727105257.480,18.76
1727105317.468,18.77
1727105377.457,18.77
1727105437.445,18.78
1727105497.437,18.78
1727105557.425,18.79
1727105617.414,18.79
1727105677.402,18.80
1727105737.394,18.81
1727105797.382,18.81
1727105857.371,18.82
1727105917.359,18.83
1727105977.351,18.83
1727106037.339,18.84
1727106097.328,18.85
1727106157.316,18.87
1727106217.308,18.90
1727106277.296,18.93
1727106337.285,18.96
1727106397.281,19.00
1727106457.265,19.04
1727106517.257,19.08
1727106577.242,19.12
1727106637.238,19.16
1727106697.222,19.20
1727106757.214,19.25
1727106817.199,19.30
1727106877.195,19.36
1727106937.179,19.41
1727106997.171,19.47
1727107057.156,19.53
1727107117.152,19.58
1727107177.136,19.64
1727107237.125,19.70
1727107297.113,19.77
1727107357.101,19.83
1727107417.093,19.89
1727107477.082,19.96
1727107537.070,20.03
1727107597.058,20.09
1727107657.050,20.16
1727107717.039,20.23
1727107777.027,20.30
1727107837.015,20.37
1727107897.003,20.44
1727107956.996,20.52
1727108016.984,20.59
1727108076.972,20.66
1727108136.960,20.74
1727108196.953,20.81
1727108256.941,20.89
1727108316.929,20.96
1727108376.917,21.04
1727108436.910,21.12
1727108496.898,21.19
1727108556.886,21.27
1727108616.875,21.35
1727108676.867,21.43
1727108736.855,21.51
1727108796.843,21.58
1727108856.832,21.66
1727108916.824,21.73
1727108976.812,21.81
1727109036.800,21.88
1727109096.789,21.96
1727109156.781,22.04
1727109216.769,22.11
1727109276.757,22.19
1727109336.746,22.27
1727109396.738,22.35
1727109456.726,22.43
1727109516.714,22.51
1727109576.703,22.59
1727109636.695,22.66
1727109696.683,22.74
1727109756.671,22.82
1727109816.660,22.90
1727109876.652,22.97
1727109936.640,23.05
1727109996.628,23.13
1727110056.617,23.20
1727110116.609,23.28
1727110176.597,23.35
1727110236.585,23.43
1727110296.574,23.50
1727110356.566,23.57
1727110416.554,23.65
1727110476.542,23.72
1727110536.531,23.79
1727110596.523,23.86
1727110656.511,23.94
1727110716.500,24.01
1727110776.488,24.08
1727110836.480,24.15
1727110896.468,24.22
1727110956.457,24.29
1727111016.445,24.36
1727111076.437,24.43
1727111136.425,24.50
1727111196.414,24.57
1727111256.406,24.64
1727111316.394,24.70
1727111376.382,24.77
1727111436.371,24.84
1727111496.359,24.90
1727111556.351,24.97
1727111616.339,25.03
1727111676.328,25.10
1727111736.316,25.16
1727111796.308,25.22
1727111856.296,25.28
1727111916.285,25.35
1727111976.273,25.41
1727112036.265,25.47
1727112096.253,25.53
1727112156.242,25.59
1727112216.230,25.64
1727112276.218,25.70
1727112336.210,25.76
1727112396.199,25.81
1727112456.187,25.87
1727112516.175,25.92
1727112576.167,25.97
1727112636.156,26.02
1727112696.144,26.07
1727112756.132,26.12
1727112816.125,26.17
1727112876.113,26.22
1727112936.101,26.26
1727112996.089,26.31
1727113056.082,26.35
